ID	GROUP	SUB_GROUP	LOCALIZATION_KEY	RU	ENG	FRA	DEU	SPA	POL	POR	CHI	ITA	KOR
1	CP	SPQUEST	CAT_START_0001	Привет! Не видел ли ты где нибудь на кампусе черного кота?	Hi! Have you seen a black cat anywhere on campus?								
2	CP	KN_SPQUEST	CAT_START_0001	Нет, а что случилось?	No, but what happened?								
3	CP	SPQUEST	CAT_START_0002	Мой кот Флеур опять потерялся, я так беспокоюсь за него. Каждый раз, когда он пропадает, я просто в ужасе!	My cat Fleur is lost again, I'm so worried about him. Every time he goes missing, I'm just terrified!								
4	CP	SPQUEST	CAT_START_0003	И с каждым разом я все дольше не могу его найти!	And every time he lost I search him for longer and longer time!								
5	CP	SPQUEST	CAT_START_0004	Можешь помочь мне найти его?	Can you help me find him?								
6	CP	KN_SPQUEST	CAT_START_YES_0001	Да, с радостью! Как выглядит Флеур?	Yes, with pleasure! What does the Fleur look like?								
7	CP	KN_SPQUEST	CAT_START_NO_0001	Нет. Думаю, раз ты принес кота в общежитие, зная что это запрещено, то это только твоя ответственность.	No. I think since you brought the cat to the dorm, knowing that it is forbidden, then it is only your responsibility.								
8	CP	SPQUEST	CAT_NO_0001	Все отказываются! Придется искать его до ночи...	Everyone refuses! We'll have to look for him until nightfall...								
9	CP	SPQUEST	CAT_NO_0002	Не трогай меня, я занят, иди куда шел!	Don't touch me, I'm busy, go where you were going!								
10	CP	CH_SPQUEST	CAT_START_YES_0001	Согласиться помочь.	Agree to help.								
11	CP	CH_SPQUEST	CAT_START_NO_0001	Отказать.	Deny.								
12	CP	SPQUEST	CAT_YES_0001	Флеур - полностью черного цвета, а еще на нем красный ошейник с колокольчиком. Так что, если услышишь звон, обязательно проверь.	The fleur is completely black in color, and he also wears a red collar with a bell. So if you hear a ringing, be sure to check it out.								
13	CP	KN_SPQUEST	CAT_YES_0001	Где ты уже искал?	Where have you been looking?								
14	CP	SPQUEST	CAT_YES_0002	Я обыскал кампус, и здание колледжа. Остается проверить общежития и большой парк.	I searched the campus and the college building. It remains to check the dormitories and the large park.								
15	CP	KN_SPQUEST	CAT_YES_0002	Так, я проверю большой парк, а ты проверь общежития, как закончим встречаемся здесь!	So, I'll check the big park, and you check the dormitories, as soon as we're done, we'll meet here!								
16	CP	SPQUEST	CAT_YES_0003	Надеюсь, Флеур в порядке...	I hope Fleur is okay...								
17	CP	SPQUEST	CAT_PARK_0001	*звон колокольчика*	*bell ring*								
18	CP	SPQUEST	CAT_PARK_0002	*мяу*	*meow*								
19	CP	KN_SPQUEST	CAT_PARK_0001	Флеур, а вот и ты! Кис-кис-кис, иди сюда!	Fleur, here you are! Kitty-kitty-kitty, come here!								
20	CP	KN_SPQUEST	CAT_PARK_0002	Да чтоб тебя, придется его ловить.	Damn, I'll have to catch him.								
21	CP	KN_SPQUEST	CAT_PARK_0003	Флеур, иди ко мне! Кис-Кис!	Fleur, come to me! Kitty-Kitty!								
22	CP	KN_SPQUEST	CAT_PARK_0004	Чертов кот...	The damn cat...								
23	CP	KN_SPQUEST	CAT_PARK_0005	Хороший котик, славный мальчик, иди ко мне, Флеур.	Good cat, nice boy, come to me, Fleur.								
24	CP	KN_SPQUEST	CAT_PARK_0006	Ну, погоди, усатый, я до тебя доберусь...	Well, wait, you furry bastard, I'll get to you...								
25	CP	KN_SPQUEST	CAT_PARK_0007	Флеур, дурья твоя голова, не убегай, я отнесу тебя к хозяину!	Fleur, you stupid head, don't run away, I'll take you to the owner!								
26	CP	KN_SPQUEST	CAT_PARK_0008	Ну все, ты меня достал, задушу тебя как поймаю.	That's it, you've got me, I'll strangle you as soon as I catch you.								
27	CP	KN_SPQUEST	CAT_PARK_0009	Блядский кот... Зачем я согласился помочь?	A fucking cat... Why did I agree to help?								
28	CP	KN_SPQUEST	CAT_PARK_0010	А это вообще того стоит?	Is it even worth it?								
29	CP	KN_SPQUEST	CAT_LOFAPARK_0001	Господи! Что за дела? Этот кот вылитый ты, Флеур!	God! What's the deal? This cat looks just like you, Fleur!								
30	CP	SPQUEST	CAT_LOFAPARK_0001	*звон колокольчика*	*bell ring*								
31	CP	KN_SPQUEST	CAT_LOFAPARK_0002	!!!	!!!								
32	CP	KN_SPQUEST	CAT_LOFAPARK_0003	Да что не так с этим котом?! Это же явно твои кости и твой ошейник, Флеур!	What's wrong with this cat?! These are clearly your bones and your collar, Fleur!								
33	CP	KN_SPQUEST	CAT_LOFAPARK_0004	Какого черта происходит в этом колледже?!	What the hell is going on in this college?!								
34	CP	SPQUEST	CAT_LOFAPARK_0004	*звон колокольчика*	*bell ring*								
35	CP	KN_SPQUEST	CAT_LOFAPARK_0005	Сколько же раз ты уже умирал?	How many times have you died already?								
36	CP	KN_SPQUEST	CAT_ALTAR_0001	Что?! Что за чертовщина?! Почему вдруг наступила ночь?!	What?! What the hell is this?! Why is it suddenly night?!								
37	CP	KN_SPQUEST	CAT_ALTAR_0002	Спрячусь-ка я в кусты, что-то мне это не нравится.	I'm going to hide in the bushes, I don't like it.								
38	CP	KN_SPQUEST	CAT_ALTAR_0005	Кто ж тебя так не любит, мистер Флеур?	Who hates you so much, Mr. Fleur?								
39	CP	KN_SPQUEST	CAT_ALTAR_0006	Это действительно тошнотворно! Какой больной ублюдок этим занимается?	It's really sickening! What kind of sick bastard did this?								
40	CP	KN_SPQUEST	CAT_ALTAR_0007	Лучше будет наблюдать из кустов, не хочу чтоб меня заметили	It would be better to watch from the bushes, I don't want to be noticed								
41	CP	KN_SPQUEST	CAT_ALTAR_0008	Может стоило все таки поступать в университет лиги плюща…	Maybe I should have gone to an Ivy League university...								
