ID	GROUP	SUB_GROUP	LOCALIZATION_KEY	RU	ENG	FRA	DEU	SPA	POL	POR	CHI	ITA	KOR
1	CP	STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0001	Дорогие студенты! От имени ученого совета и ректората поздравляю Вас с началом занятий!	Dear students! On behalf of the Academic Council and the Rector's office, I congratulate you on the start of classes!								
2	CP	STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0002	Сегодня в Вашей жизни особенный день! И я рад приветствовать Вас в нашем Колледже, одном из ведущих образовательных учреждений мира. Вы прошли трудный путь, чтобы сегодня быть здесь!	Today is a special day in your life! And I am glad to welcome you to our College, one of the leading educational institutions in the world. You've come a long way to be here today!								
3	CP	STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0003	Позади очень тяжелый период — вы сдавали  вступительные экзамены. Теперь эти волнения позади. Вы — студенты нашего Колледжа и Вам предстоит воспринять его дух, знания, которые вам передадут.	A very difficult period is behind you — you passed the entrance exams. Now these worries are over. You are students of our College and you will have to perceive its spirit, the knowledge that will be passed on to you.								
4	CP	STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0004	Буду очень рад через четыре года вручить дипломы и пожать руку каждому из вас как специалисту и профессионалу. Впереди четыре года напряженной учебы, четыре года, наполненных важными событиями.	I will be very glad to present diplomas and shake hands with each of you as a specialist and professional in four years. There are four years of intense study ahead, four years filled with important events.								
5	CP	STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0005	Мы хотим, чтобы в будущем вы стали одновременно и замечательными политиками, и великими педагогами, и прекрасными переводчиками, продолжив лучшие традиции Колледжа.	We want you to become great politicians, great educators, and great interpreters at the same time in the future, continuing the best traditions of the College.								
6	CP	STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0006	Профессорско-преподавательский состав, ученый совет и ректорат сделают все для того, чтобы вы стали профессионалами и с достоинством могли нести высокое звание выпускника Латреяградского Колледжа.	The teaching staff, the academic council and the rector's office will do everything to ensure that you become professionals and can carry with dignity the high title of a graduate of Latreyatown College.								
7	CP	STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0007	Поздравляю всех Вас и желаю, чтобы за годы обучения Вы стали друзьями и приобрели наставников в лице преподавателей. Запомните этот замечательный день, и пронесите чувство торжественности через годы обучения.	I congratulate all of you and wish you to become friends over the years of study. I wish you to make friends in the face of teachers. Remember this wonderful day, and carry a sense of solemnity through the years of study.								
8	CP	STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0008	В добрый путь!	Have a good journey!								
9	CP	KN_STORY	FIRSTDAYATCOLLEGE_WELCOMEDIALOGUE_0008	Официальные речи такие утомительные	Official speeches are so boring								
10	CP	KN_STORY	FIRSTDAY_START_0001	Что произошло?! Где все?! Я закрыл глаза буквально на секунду!	What happened?! Where is everyone?! I closed my eyes for just a second!								
11	CP	SR_STORY	FIRSTDAY_START_0002	О, Кервин, хорошо, что я тебя встретил. Я Сильвестр, твой куратор, тебе нужно принести свои документы в деканат, для сверки данных и сдачи твоего школьного диплома, там же ты получишь свой студенческий пропуск.	Oh, Kerwin, it's good that I met you. I'm Sylvester, your supervisor, you need to bring your documents to the dean's office to verify the data and hand over your school diploma, you will also receive your student ID there.								
12	CP	KN_STORY	FIRSTDAY_START_0002	Приятно познакомиться. Хорошо.	Nice to meet you. Okay, I'll do it in few time.								
13	CP	SR_STORY	FIRSTDAY_START_0003	Пока ты не ушел, я рекомендую тебе познакомиться со своими преподавателями, мы с Анатом дежурим в холле Колледжа, возле выставки учебных клубов, Валентия должно быть любуется водной гладью озера в большом парке.	Before you leave, I recommend that you get to know your teachers, professor Anat and I are on duty in the College lobby, near the exhibition of educational clubs, Valentia must be admiring the water surface of the lake in a large park.								
14	CP	SR_STORY	FIRSTDAY_START_0004	Библиотекарь Дамоника обычно на своем рабочем месте в библиотеке на втором этаже главного корпуса,  а директора Дойла ты уже знаешь, он читал вам речь.	Librarian Damonica is usually at her workplace in the library on the second floor of the main building, and you already know Director Doyle, he read you a speech.								
15	CP	KN_STORY	FIRSTDAY_START_0004	Спасибо, что подсказали, я постараюсь всех найти.	Thanks for the tip, I'll try to find everyone.								
16	CP	SR_STORY	FIRSTDAY_START_0005	У нас большой кампус, но, думаю, ты не заблудишься.	We have a big campus, but I don't think you'll get lost.								
