ID	GROUP	SUB_GROUP	LOCALIZATION_KEY	RU	ENG	FRA	DEU	SPA	POL	POR	CHI	ITA	KOR
1	CP	USUAL	TALKWITHSTUDENT0001	Наконец-то я в Латреяградском Колледже! Мечта сбылась!	I dreamed so much of successfully passing the Latreya College exams!								
2	CP	USUAL	TALKWITHSTUDENT0002	Ты шутишь? Это один из лучших колледжей мира!	Are you serious? Cause it's one of the best in the world!								
3	CP	USUAL	TALKWITHSTUDENT0011	Мой папа - писатель, так что я тоже учусь на литературном!	My dad is a writer, so I enrolled in the literature department!								
4	CP	USUAL	TALKWITHSTUDENT0012	О, мне так жаль...	Oh, i'm so sorry about that...								
5	CP	USUAL	TALKWITHSTUDENT0013	Дурацкие у тебя шутки!	Nah, whatta stupid joke!								
6	CP	KN_USUAL	TALKWITHSTUDENT0001	О, и что в нем такого особенного?	Oh, why did you choose this college?								
7	CP	KN_USUAL	TALKWITHSTUDENT0011	А мой папа ушел, когда мне было семь. Так что я тоже съехал из дома.	My dad left when I was seven. So I moved out of the house too.								
8	CP	KN_USUAL	TALKWITHSTUDENT0012	Ничего, я пошутил, не воспринимай всерьез.	Never mind. Just kidding								
9	CP	USUAL	TALKWITHSTUDENT0021	Ты знаешь расписание на завтра? Я так волнуюсь перед первым днем, что ничего не могу запомнить!	Do you know the schedule for tomorrow? I'm so worried before the first day that I can't remember anything!								
10	CP	USUAL	TALKWITHSTUDENT0022	Спрошу у кого нибудь другого.	I'll ask someone else.								
11	CP	KN_USUAL	TALKWITHSTUDENT0021	Нет, я не знаю твое расписание. Я уверен, что мы в разных группах.	No, I do not know your schedule. I'm sure we're in different groups.								
12	CP	USUAL	TALKWITHSTUDENT0031	Философия, Английский, Информатика... А, прости, ты что-то хотел?	Philosophy, English, Computer Science... Oh, I'm sorry, did you ask something?								
13	CP	USUAL	TALKWITHSTUDENT0032	Ой, нет, у меня ничего нет. Но я слышал что где-то в главном корпусе есть парень, который торгует всяким.	Oh, no, I don't have anything. But I heard that somewhere in the main building there is a guy who sells stuff.								
14	CP	KN_USUAL	TALKWITHSTUDENT0031	У тебя, случайно, ничего нет от головной боли? Голова раскалывается...	Do you have any headache pills? My head is going to explode...								
15	CP	USUAL	TALKWITHSTUDENT0041	Ты слышал о закрытой территории в большом парке, говорят там есть призрак!	Have you heard about the closed area in the big park, i heard there is a ghost there!								
16	CP	USUAL	TALKWITHSTUDENT0042	Ой, ты точно не из тех, кто верит в сверхьестественное. Раз так, нам не о чем разговаривать	Oh, you're definitely not one of those people who believes in the supernatural. If that's the case, we have nothing to talk about.								
17	CP	KN_USUAL	TALKWITHSTUDENT0041	Говорят, призраков не существует.	I heard that ghosts do not exist.								
18	CP	SR_USUAL	TALKWITHSYLVESTER_0001	Привет еще раз, Кервин. Как тебе наш кампус, красивый, правда?	Hello again, Kerwin. How do you like our campus, isn't it beautiful?								
19	CP	KN_USUAL	TALKWITHSYLVESTER_0001	Да, мне очень нравится.	Yes, I really like it.								
20	CP	SR_USUAL	TALKWITHSYLVESTER_0002	Рад слышать! Завтра начнутся занятия, вот твое расписание.	Glad to hear it! Classes start tomorrow, here's your schedule.								
21	CP	KN_USUAL	TALKWITHSYLVESTER_0002	Спасибо!	Thanks!								
22	CP	SR_USUAL	TALKWITHSYLVESTER_0003	Кервин? Ты что-то хотел?	Kerwin? Did you want something?								
23	CP	KN_USUAL	TALKWITHSYLVESTER_0003	Нет, ничего, я уже ухожу.	No, it's okay, I'm already leaving.								
24	CP	SR_USUAL	TALKWITHSYLVESTER_0004	Хорошего дня!	Have a nice day!								
25	CP	KN_USUAL	TALKWITHSYLVESTER_0004	И вам!	You too!								
26	CP	KN_USUAL	TALKWITHSYLVESTER_0005	Профессор, Сильвестр, у вас такие необычные волосы, никогда не видел такого цвета.	Professor, Sylvester, you have such unusual hair, I've never seen such a color.								
27	CP	SR_USUAL	TALKWITHSYLVESTER_0005	Да, это семейное. У моего отца Эрика были такие же. Да и у брата Пьетро тоже...	Yes, it's a family thing. My father Eric had the same ones. And so does Brother Pietro...								
28	CP	KN_USUAL	TALKWITHSYLVESTER_0006	А что вы будете у нас преподавать?	And what will you teach here?								
29	CP	SR_USUAL	TALKWITHSYLVESTER_0007	Я выполняю роль куратора твоей группы, я не буду вести никаких предметов у твоей группы в этом году. У тебя есть еще вопросы?	I am acting as the curator of your group, I will not teach any subjects at your group this year. Do you have any more questions?								
30	CP	KN_USUAL	TALKWITHSYLVESTER_0007	Нет, профессор. Я пожалуй пойду.	No, Professor. I think I'll go.								
31	CP	KN_USUAL	TALKWITHANAT_0001	Здравствуйте! Я Кервин, первокурсник, буду рад у вас учиться. Профессор Сильвестр сказал что вы наш преподаватель.	Hello! I'm Kerwin, a freshman, and I'll be glad to learn from you. Professor Sylvester said that you are our professor too.								
32	CP	USUAL	TALKWITHANAT_0001	Здравствуй, Кервин. Мое имя Анат Симон, но у нас в колледже все зовут друг друга по имени, так что можешь звать меня просто Анат.	Hello, Kerwin. My name is Anat Simon, but everyone in college calls each other by their first name, so you can just call me a Anat.								
33	CP	USUAL	TALKWITHANAT_0002	Я буду вести у вашей группы несколько предметов в этом году.	I will teach your group some subjects this year.								
34	CP	KN_USUAL	TALKWITHANAT_0002	Очень рад знакомству!	I am very glad to meet you!								
35	CP	USUAL	TALKWITHANAT_0003	Ступай, Кервин, осмотрись, у нас прекрасный кампус.	Go on, Kerwin, take a look around, we have a beautiful campus.								
36	CP	KN_USUAL	TALKWITHANAT_0003	Всего доброго, профессор!	Have a nice day, Professor!								
37	CP	USUAL	TALKWITHANAT_0004	Слушаю.	I'm listening.								
38	CP	KN_USUAL	TALKWITHANAT_0004	Вы выглядите расстроенным, что-то случилось?	Do you look upset, has something happened?								
